iter	Passed	Remaining
668	2544	1259
669	2553	1257
670	2557	1253
671	2560	1249
672	2564	1245
673	2567	1241
674	2584	1244
675	2588	1240
676	2591	1236
677	2594	1232
678	2597	1228
679	2601	1224
680	2605	1220
681	2608	1216
682	2612	1212
683	2615	1208
684	2618	1204
685	2622	1200
686	2626	1196
687	2629	1192
688	2648	1195
689	2663	1196
690	2666	1192
691	2669	1188
692	2672	1184
693	2675	1179
694	2678	1175
695	2681	1171
696	2684	1167
697	2687	1162
698	2690	1158
699	2693	1154
700	2696	1150
701	2699	1146
702	2702	1141
703	2705	1137
704	2708	1133
705	2711	1129
706	2714	1125
707	2717	1120
708	2720	1116
709	2723	1112
710	2727	1108
711	2730	1104
712	2733	1100
713	2736	1096
714	2739	1092
715	2743	1088
716	2746	1083
717	2749	1079
718	2752	1075
719	2755	1071
720	2759	1067
721	2762	1063
722	2765	1059
723	2768	1055
724	2771	1051
725	2774	1047
726	2778	1043
727	2785	1040
728	2788	1036
729	2791	1032
730	2794	1028
731	2797	1024
732	2800	1019
733	2803	1015
734	2806	1011
735	2809	1007
736	2812	1003
737	2815	999
738	2818	995
739	2821	991
740	2824	987
741	2827	983
742	2830	979
743	2833	974
744	2836	970
745	2839	966
746	2842	962
747	2845	958
748	2848	954
749	2851	950
750	2854	946
751	2857	942
752	2860	938
753	2863	934
754	2867	930
755	2870	926
756	2873	922
757	2876	918
758	2879	914
759	2882	910
760	2885	906
761	2888	902
762	2891	898
763	2894	894
764	2897	890
765	2900	886
766	2903	882
767	2906	878
768	2910	874
769	2913	870
770	2916	866
771	2919	862
772	2922	858
773	2925	854
774	2928	850
775	2932	846
776	2935	842
777	2938	838
778	2941	834
779	2957	834
780	2960	830
781	2963	826
782	2966	822
783	2969	818
784	2972	814
785	2975	810
786	2978	806
787	2981	802
788	2984	798
789	2987	794
790	3004	793
791	3007	789
792	3010	785
793	3013	781
794	3016	777
795	3019	773
796	3022	769
797	3025	765
798	3028	761
799	3031	757
800	3034	753
801	3037	749
802	3040	745
803	3043	741
804	3046	738
805	3049	734
806	3052	730
807	3055	726
808	3058	722
809	3061	718
810	3064	714
811	3067	710
812	3070	706
813	3083	704
814	3085	700
815	3088	696
816	3091	692
817	3094	688
818	3098	684
819	3101	680
820	3104	676
821	3107	672
822	3110	668
823	3113	665
824	3116	661
825	3119	657
826	3122	653
827	3125	649
828	3128	645
829	3145	644
830	3148	640
831	3151	636
832	3154	632
833	3157	628
834	3160	624
835	3163	620
836	3166	616
837	3169	612
838	3172	608
839	3175	604
840	3178	600
841	3181	597
842	3184	593
843	3187	589
844	3190	585
845	3193	581
846	3196	577
847	3199	573
848	3202	569
849	3205	565
850	3208	561
851	3211	557
852	3214	554
853	3217	550
854	3220	546
855	3223	542
856	3226	538
857	3229	534
858	3232	530
859	3236	526
860	3239	522
861	3242	519
862	3246	515
863	3249	511
864	3253	507
865	3257	504
866	3260	500
867	3264	496
868	3267	492
869	3271	488
870	3275	485
871	3278	481
872	3282	477
873	3296	475
874	3299	471
875	3302	467
876	3305	463
877	3309	459
878	3312	455
879	3315	452
880	3319	448
881	3322	444
882	3325	440
883	3328	436
884	3334	433
885	3338	429
886	3341	425
887	3344	421
888	3347	418
889	3351	414
890	3354	410
891	3357	406
892	3361	402
893	3364	398
894	3367	395
895	3370	391
896	3373	387
897	3376	383
898	3380	379
899	3383	375
900	3386	372
901	3390	368
902	3393	364
903	3397	360
904	3400	356
905	3403	353
906	3406	349
907	3410	345
908	3413	341
909	3417	337
910	3420	334
911	3424	330
912	3427	326
913	3430	322
914	3433	318
915	3437	315
916	3440	311
917	3443	307
918	3447	303
919	3459	300
920	3462	297
921	3466	293
922	3469	289
923	3472	285
924	3475	281
925	3478	278
926	3482	274
927	3485	270
928	3491	266
929	3494	263
930	3497	259
931	3500	255
932	3504	251
933	3507	247
934	3510	244
935	3522	240
936	3525	237
937	3528	233
938	3531	229
939	3535	225
940	3538	221
941	3541	218
942	3544	214
943	3547	210
944	3551	206
945	3554	202
946	3557	199
947	3560	195
948	3564	191
949	3567	187
950	3570	183
951	3573	180
952	3576	176
953	3580	172
954	3585	168
955	3588	165
956	3591	161
957	3594	157
958	3597	153
959	3601	150
960	3604	146
961	3607	142
962	3610	138
963	3613	134
964	3616	131
965	3620	127
966	3623	123
967	3626	119
968	3630	116
969	3633	112
970	3637	108
971	3640	104
972	3643	101
973	3647	97
974	3650	93
975	3653	89
976	3657	86
977	3660	82
978	3664	78
979	3667	74
980	3671	71
981	3679	67
982	3683	63
983	3686	59
984	3690	56
985	3693	52
986	3697	48
987	3700	44
988	3704	41
989	3707	37
990	3711	33
991	3714	29
992	3716	26
993	3720	22
994	3722	18
995	3726	14
996	3729	11
997	3731	7
998	3734	3
999	3737	0
